Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;20;Abitazioni civili;OTTIMO;;9000;12300;L;28;37,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;20;Abitazioni civili;NORMALE;P;7400;9000;L;23;28;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;21;Abitazioni di tipo economico;NORMALE;P;6500;7800;L;18;22;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;21;Abitazioni di tipo economico;OTTIMO;;7800;9000;L;24;30;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;19;Abitazioni signorili;OTTIMO;P;11200;14300;L;37,5;46;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;13;Box;NORMALE;P;4700;6600;L;14,5;21,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;9;Magazzini;NORMALE;P;2550;3300;L;14;18;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;5;Negozi;OTTIMO;;15100;21600;L;83;124;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;5;Negozi;NORMALE;P;8800;12400;L;40;59;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;6;Uffici;OTTIMO;P;5800;9000;L;21,3;36;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;18;Uffici strutturati;OTTIMO;P;6200;10000;L;27,9;45,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;10;Laboratori;NORMALE;P;2800;3300;L;15;20,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;OTTIMO;;6900;8200;L;18,5;27,3;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;NORMALE;P;5000;6900;L;14,5;18,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;21;Abitazioni di tipo economico;NORMALE;P;4100;5100;L;13;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;21;Abitazioni di tipo economico;OTTIMO;;5100;6400;L;17;20,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;19;Abitazioni signorili;OTTIMO;P;7600;9400;L;22,7;29;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;13;Box;NORMALE;P;3300;4500;L;10,5;15,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;9;Magazzini;NORMALE;P;1600;2300;L;9,5;13;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;5;Negozi;OTTIMO;;5300;7400;L;29,5;40,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;5;Negozi;NORMALE;P;3700;5300;L;20;27,7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;6;Uffici;OTTIMO;P;4200;5800;L;18,2;25,6;L
